,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
TSPAN6,3873,4172,5537,4663,3788,3098
TNMD,0,0,2,0,0,7
DPM1,2184,2337,1902,1373,1498,2099
SCYL3,740,835,1073,922,889,634
C1orf112,750,882,430,180,201,492
FGR,1,2,6,0,9,14
CFH,4517,5005,5791,6234,8134,5160
FUCA2,6970,7354,4633,2809,3039,6327
GCLC,7410,7872,3785,2807,2767,9179
NFYA,1367,1469,1358,930,1115,1117
STPG1,912,853,611,523,463,804
NIPAL3,4283,4297,3778,3168,3864,4535
LAS1L,2243,2347,1499,1123,1360,2379
ENPP4,2039,1880,1267,1697,2103,803
SEMA3F,1082,1274,4072,3094,2458,4569
CFTR,237,256,270,1227,1649,224
ANKIB1,1396,1273,958,621,716,973
CYP51A1,24500,23639,11707,7824,8715,14020
KRIT1,1069,1408,908,1149,1453,1068
RAD52,187,177,201,418,370,146
MYH16,121,103,33,12,1,46
BAD,3376,3299,2452,2080,2355,2405
LAP3,6740,7637,8239,2200,2343,3293
CD99,2254,2432,2422,1636,1950,3310
PAR_Y_CD99,2254,2432,2422,1636,1950,3310
HS3ST1,748,640,2940,1161,1930,2545
AOC1,51,24,396,84,50,223
WNT16,7,0,15,4,4,94
HECW1,22,36,11,3,23,32
MAD1L1,2473,2607,2092,1048,1087,2256
LASP1,9494,9684,8237,3610,5104,8464
SNX11,1315,1305,1392,773,641,1177
TMEM176A,8,5,115,106,146,15
M6PR,8391,8660,6483,4189,5727,7791
KLHL13,272,239,104,299,329,403
CYP26B1,40,10,112,16,35,64
ICA1,2497,2579,1093,1702,2059,862
DBNDD1,2236,2228,1305,659,861,1660
ALS2,1604,1440,1085,856,1090,1311
CASP10,2417,2651,1376,1397,1473,1020
CFLAR,13204,13579,9354,6386,6617,4391
TFPI,13320,13363,9599,17086,21592,11903
NDUFAF7,888,923,812,708,858,647
RBM5,2946,3465,4675,6165,6067,2819
MTMR7,27,35,49,23,15,16
SLC7A2,41,27,84,56,113,98
ARF5,4195,4353,3701,3324,3050,3916
SARM1,333,379,347,588,667,216
POLDIP2,10390,10615,6928,4727,4934,9007
PLXND1,1083,1239,1507,1632,2046,1504
AK2,7507,7834,7459,6055,7217,7929
CD38,405,545,505,97,88,116
FKBP4,4281,4250,4430,3287,3710,6107
KDM1A,5831,6335,5126,3526,4329,5974
RBM6,2794,2944,2637,4067,4343,1864
CAMKK1,273,354,307,635,624,275
RECQL,2958,3041,2279,1284,1590,3395
VPS50,1496,1505,1156,883,732,1007
HSPB6,45,33,328,511,404,1854
ARHGAP33,16,21,30,33,66,34
NDUFAB1,3724,3945,2475,1849,1866,3823
PDK4,2868,2793,3235,1093,1399,4111
SLC22A16,0,0,0,0,0,0
ZMYND10,625,834,124,1317,1911,3
ABCB5,0,0,2,0,0,0
ARX,0,1,1,0,3,0
SLC25A13,1759,1721,1851,808,826,2769
ST7,3103,2986,1539,1835,2259,1522
CDC27,2060,2102,1592,1057,1162,2363
SLC4A1,0,0,0,1,0,0
CALCR,0,0,0,5,55,0
HCCS,2162,2206,1658,1179,913,2276
DVL2,1780,1816,2641,1997,2535,1458
PRSS22,1475,1505,4888,1505,1446,941
UPF1,4366,5201,5883,3861,4803,4141
SKAP2,1434,1449,1277,777,1111,1400
SLC25A5,14878,15560,9956,7393,7140,12571
MCUB,1385,1589,895,530,579,1083
HOXA11,0,1,2,8,0,1
POLR2J,1429,1541,1262,880,994,1311
DHX33,206,214,306,235,176,288
MEOX1,5,0,6,2,10,0
THSD7A,185,268,146,167,157,155
LIG3,1378,1451,1101,847,1051,1074
RPAP3,1794,1915,1240,991,1050,1629
ACSM3,582,595,193,428,698,437
REXO5,197,338,128,118,150,216
CIAPIN1,4045,3839,2778,1807,1652,4159
SPPL2B,1294,1731,2524,1798,1659,1558
FAM214B,1267,1255,1638,876,802,1830
COPZ2,179,189,186,438,403,630
PRKAR2B,104,132,524,580,695,799
MSL3,1380,1447,1493,863,1079,886
CREBBP,807,867,1091,900,1133,629
TSPOAP1,78,43,49,300,345,2
MPO,0,0,0,10,0,0
PON1,9,6,9,17,50,6
GCFC2,680,970,558,686,765,830
WDR54,539,601,317,954,1304,492
CROT,1398,1441,2055,2165,1708,2922
ABCB4,0,0,2,6,3,9
KMT2E,2018,2197,3439,3636,4208,1461
RHBDD2,4617,4853,5996,4037,4879,4463
SOX8,5,12,4,9,9,5
IBTK,4616,4751,3571,2809,2892,4675
ZNF195,1239,1214,969,1006,1053,864
MYCBP2,484,612,698,1134,848,767
FBXL3,2496,2341,2003,2258,2425,2211
ITGAL,0,5,13,4,0,6
PDK2,1394,1280,1400,1442,1496,1052
ITGA3,16068,15203,9479,6856,9966,23936
ZFX,1990,2077,1529,1660,1868,1397
LAMP2,12209,11901,12340,11147,13184,15324
ITGA2B,5,4,5,10,27,4
ASB4,3,2,7,67,73,3
GDE1,9708,10074,8685,6778,7889,6569
REX1BD,1311,1455,1577,1257,1197,1558
CRLF1,67,70,81,21,39,43
OSBPL7,2505,2709,2200,827,892,1001
TMEM98,4888,4741,1819,1922,2359,2501
YBX2,0,6,37,14,4,2
KRT33A,0,1,14,1,0,29
MAP3K14,237,250,278,287,442,221
ABCC8,0,12,1,6,13,0
CACNG3,0,0,0,0,0,0
TMEM132A,3235,3086,9099,2663,3042,6363
AP2B1,12397,12116,5728,4811,6665,11855
TAC1,5,3,1,0,0,2
ZNF263,1443,1539,1850,1469,1653,1461
CX3CL1,936,817,1984,875,1290,675
SPATA20,3775,3751,3283,2538,3186,3847
CACNA1G,0,0,5,0,1,2
TNFRSF12A,13024,12664,8436,1443,1535,8052
DLX6,0,0,0,0,0,0
MAP3K9,1404,1418,2848,1475,1182,1190
RALA,3437,3569,3683,2617,2238,3483
BAIAP2L1,4843,4922,6629,2912,3602,3866
KDM7A,414,344,1368,793,720,508
ETV1,2960,2889,1814,2571,3002,1385
AGK,1493,1860,1366,1151,1223,1776
ALDH3B1,3834,4084,3642,2783,3373,1764
TTC22,1230,1316,2626,2094,1329,1900
PHTF2,975,1097,1255,792,1138,1044
CCL26,6,5,12,7,10,8
FARP2,1815,1966,2324,1694,1692,1937
USH1C,0,3,3,11,10,3
GGCT,1806,1839,893,711,614,2234
DBF4,579,641,454,342,383,730
TBXA2R,29,18,26,31,22,59
IFRD1,2856,2704,2858,2778,2588,1971
LGALS14,0,0,0,0,0,0
COX10,1207,1331,1125,908,1072,1523
GTF2IRD1,1872,1970,2501,1178,1008,1227
PAF1,3146,3205,2156,1495,1607,2721
VPS41,4285,4005,3334,3221,3626,3087
ARHGAP44,2246,2246,728,1592,2329,1390
ELAC2,6700,6630,4151,2793,2979,6252
SCIN,2875,3012,2501,2678,4002,1619
ARSD,2669,2963,1031,3016,3641,1180
PNPLA4,1182,1260,613,1048,1160,930
MYH13,0,0,0,0,0,0
ADIPOR2,1341,1189,1299,1241,1138,1389
CDKL3,35,31,32,65,45,41
UPP2,0,0,0,0,0,0
PRSS21,18,21,23,52,50,44
MARK4,115,89,195,136,134,268
PROM1,329,294,221,343,415,33
CCDC124,2314,2569,2088,1190,1175,2083
CEACAM21,0,0,0,0,6,0
PAFAH1B1,3236,3264,2620,1869,2106,2738
NOS2,17,1,3,18,46,0
DNAH9,49,166,8,208,433,26
KIAA0100,8356,8727,5897,4375,4435,7209
SLC13A2,3,15,51,17,34,0
AC005747.1,28,33,32,108,31,90
TRAPPC6A,238,255,311,1030,1248,272
MATK,1,0,1,0,0,0
CEACAM7,198,197,11792,8039,1486,495
CD79B,0,0,0,0,0,0
SCN4A,0,0,2,0,0,0
ST7L,715,678,532,577,498,613
TKTL1,0,0,1,0,0,0
PAX6,0,0,0,0,0,0
RPUSD1,2214,2182,1863,725,649,2259
RHBDF1,3410,3404,6291,2449,2733,4209
LUC7L,1809,1943,3872,4085,4522,1851
CACNA2D2,172,160,293,1281,1557,52
BAIAP3,264,352,300,414,492,107
TSR3,3610,3775,2792,1732,1974,3553
PIGQ,2693,2769,3025,2293,2318,1911
CRAMP1,543,681,996,809,963,567
TEAD3,842,857,1658,904,884,770
SELE,36,95,807,6,6,40
DNAJC11,4018,4008,3136,1569,1676,4690
FMO3,74,100,42,62,66,31
MYLIP,460,491,950,1254,1467,429
NOX1,13,7,20,17,24,9
E2F2,125,181,125,114,29,193
PSMB1,8814,9705,6627,4775,4976,8174
SYN1,18,8,40,25,29,36
JARID2,814,601,1216,785,991,1028
CDKL5,314,320,387,354,403,183
CAMK1G,10,7,76,24,19,57
CDK11A,403,469,933,420,414,383
NADK,6418,6270,6380,3156,3860,5242
TFAP2B,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0
DLEC1,81,181,93,140,277,43
CYTH3,1886,1706,1002,739,733,1052
ADAM22,2,12,12,18,18,3
SYPL1,8846,8916,6950,7641,7086,11686
CYB561,5675,5892,4481,3513,3868,3079
SPAG9,4031,3865,4489,2028,2606,3093
CELSR3,7,28,59,69,164,21
AASS,956,1188,520,2278,2416,393
PLEKHG6,522,509,1263,745,649,481
SS18L2,1068,1072,707,712,758,786
MPND,515,540,370,380,357,312
MGST1,44301,47202,24345,20979,21707,26882
